,r2_score,MAPE,RMSPE,MSE,description,category
0,0.3037859797477722,0.05,0.064422995,41382.098,Monthly crude oil refinery inventories in United Kingdom in kt,crude_oil
0,0.7100211381912231,0.11,0.14516096,20101.225,Monthly crude oil terminal inventories in United Kingdom in kt,crude_oil
0,0.5779944658279419,0.11,0.15254779,7437.583,Monthly crude oil offshore inventories in United Kingdom in kt,crude_oil
0,0.9263777732849121,0.03,0.047746815,86086.914,Monthly crude oil inventories in United Kingdom in kt,crude_oil
0,0.6287028789520264,0.04,0.050195955,2843.341,Monthly gasoline inventories in United Kingdom in kt,oil_products
0,0.7839035391807556,0.06,0.07661903,6923.728,Monthly kerosene inventories in United Kingdom in kt,oil_products
0,0.78566575050354,0.05,0.059405062,8973.732,Monthly diesel inventories in United Kingdom in kt,oil_products
0,0.8904898166656494,0.09,0.11314914,826.79736,Monthly fuel oil inventories in United Kingdom in kt,oil_products
0,0.8808425664901733,0.03,0.04297557,2364.1143,Monthly other oil products inventories in United Kingdom in kt,oil_products
0,0.9753684997558594,0.03,0.03156838,45334.42,Monthly oil products inventories in United Kingdom in kt,oil_products
0,0.9975297451019287,0.05,0.07977361,7323.0986,Monthly products net inventories in United Kingdom in kt,oil_products
0,0.8529919981956482,0.02,0.025688918,63724.363,Monthly products total domestic inventories in United Kingdom in kt,oil_products
0,0.9822190403938293,0.02,0.025435919,102775.33,Monthly products total inventories in United Kingdom in kt,oil_products
0,0.6679404377937317,0.05,0.06647131,75846.8,Monthly refinery runs in United Kingdom in kt,crude_oil
0,0.6281019449234009,0.07,0.09790717,495.8061,Monthly crude oil burn in United Kingdom in kt,crude_oil
0,0.18746185302734375,0.91,1.97506,717.0644,Monthly refinery gains in United Kingdom in kt,oil_products
0,0.7345505952835083,0.05,0.073277675,80313.13,Monthly total products refinery production in United Kingdom in kt,oil_products
0,0.48547857999801636,0.1,0.12311739,431.72614,Monthly butane refinery production in United Kingdom in kt,NGLs
0,0.44462448358535767,0.11,0.17850873,24.611248,Monthly ethane and methane refinery production in United Kingdom in kt,NGLs
0,0.5604146122932434,0.14,0.3754259,710.7795,Monthly naphtha refinery production for United Kingdom in kt,oil_products
0,0.36560148000717163,0.06,0.0706052,9103.166,Monthly gasoline refinery production in United Kingdom in kt,oil_products
0,0.798314094543457,0.14,0.1858986,2854.2502,Monthly jet/kero refinery production in United Kingdom in kt,oil_products
0,0.034770190715789795,0.29,0.37082243,2534.8594,Monthly burning oil refinery production in United Kingdom in kt,oil_products
0,0.7534234523773193,0.07,0.08732998,2843.08,Monthly diesel refinery production in United Kingdom in kt,oil_products
0,0.14398127794265747,0.08,0.123001784,12069.431,Monthly DERV oil refinery production in United Kingdom in kt,oil_products
0,-0.028318166732788086,0.27,0.36533347,4825.2896,Monthly fuel oil refinery production in United Kingdom in kt,oil_products
0,0.15447747707366943,0.64,2.2191389,92.45191,Monthly lubes refinery production in United Kingdom in kt,oil_products
0,0.4467895030975342,0.4,0.86726856,332.39758,Monthly bitumen refinery production in United Kingdom in kt,oil_products
0,0.9277005195617676,0.02,0.03159923,20963.674,Monthly total products demand in United Kingdom in kt,oil_products
0,0.34609395265579224,0.1,0.12304663,786.32623,Monthly butane and propane demand in United Kingdom in kt,NGLs
0,0.8338000178337097,0.11,0.1505124,158.62003,Monthly ethane and methane demand in United Kingdom in kt,NGLs
0,0.7429778575897217,0.41,1.0525385,333.4754,Monthly naphtha demand in United Kingdom in kt,oil_products
0,0.8319233059883118,0.03,0.05601958,1784.2355,Monthly gasoline demand in United Kingdom in kt,oil_products
0,0.87530517578125,0.1,0.1333037,9028.465,Monthly jet/kero demand in United Kingdom in kt,oil_products
0,-0.012692689895629883,0.4,0.5396711,11587.555,Monthly heating oil demand in United Kingdom in kt,oil_products
0,0.5802891254425049,0.04,0.054814916,10499.2705,Monthly diesel demand in United Kingdom in kt,oil_products
0,0.2939426898956299,0.07,0.09638463,1603.7325,Monthly other oil products demand in United Kingdom in kt,oil_products
0,0.39301496744155884,0.26,0.33209753,103.23673,Monthly fuel oil demand in United Kingdom in kt,oil_products
0,0.4847152829170227,0.15,0.20204121,30.024502,Monthly lubes demand in United Kingdom in kt,oil_products
0,0.12862765789031982,0.13,0.18275902,424.34332,Monthly bitumen demand in United Kingdom in kt,oil_products
0,0.6334680318832397,0.1,0.14764816,3.6238682,Monthly direct crude use/burn for Algeria in kb/d,crude_oil
0,0.9311767816543579,0.01,0.030776685,0.12403982,Monthly direct crude use/burn for Ecuador in kb/d,crude_oil
0,0.8178759217262268,1.13,3.3737764,763.44073,Monthly direct crude use/burn for Iraq in kb/d,crude_oil
0,0.9438207149505615,1.06,1.8571424,308.03842,Monthly direct crude use/burn for Japan in kb/d,crude_oil
0,0.6252456903457642,1.28,2.7230272,215.47229,Monthly direct crude use/burn for Kuwait in kb/d,crude_oil
0,0.5463330745697021,0.77,3.072835,122.60479,Monthly direct crude use/burn for Netherlands in kb/d,crude_oil
0,0.8415022492408752,0.13,0.21243323,59.689724,Monthly direct crude use/burn for Thailand in kb/d,crude_oil
0,-0.04861855506896973,0.32,0.3788753,20216.912,Monthly direct crude use/burn for Saudi Arabia in kb/d,crude_oil
0,0.5652134418487549,0.5,1.7985384,85.20701,Monthly direct crude use/burn for United Arab Emirates in kb/d,crude_oil
0,0.6600255966186523,0.15,0.2055818,870.05066,Monthly LPG demand in Canada in kb/d,NGLs
0,0.5401578545570374,0.04,0.05317128,1608.9066,Monthly gasoline demand in Canada in kb/d,oil_products
0,0.7633721828460693,0.09,0.11914871,209.70331,Monthly kerosene demand in Canada in kb/d,oil_products
0,0.0973924994468689,0.06,0.07040888,1702.2611,Monthly gasoil demand in Canada in kb/d,oil_products
0,0.46562665700912476,0.18,0.20787059,151.11046,Monthly fuel oil demand in Canada in kb/d,oil_products
0,0.2622150182723999,0.04,0.04583802,10716.816,Monthly oil products demand in Canada in kb/d,oil_products
0,0.1353270411491394,0.02,0.023942268,2124.8303,Monthly bitumen production in Canada in kb/d,crude_oil
0,0.9809585213661194,0.01,0.01088974,12.977773,Monthly C5+ production in Canada in kb/d,crude_oil
0,0.21133071184158325,0.03,0.032507855,18841.379,Monthly crude oil production in Canada in kb/d,crude_oil
0,0.4323059916496277,0.02,0.024988437,17498.842,Monthly crude oil demand in Canada in kb/d,crude_oil
0,0.6852251291275024,0.01,0.017793963,4234.974,Monthly crude oil exports from Canada in kb/d,crude_oil
0,0.9465402960777283,0.01,0.011390953,21.86844,Monthly heavy crude oil production in Canada in kb/d,crude_oil
0,0.14089363813400269,0.09,0.10662093,5113.363,Monthly crude oil imports to Canada in kb/d,crude_oil
0,-0.24223101139068604,0.02,0.021059351,294.63144,Monthly light & medium crude oil production in Canada in kb/d,crude_oil
0,0.5066298246383667,0.02,0.028295595,170.36842,Monthly other liquids production in Canada in kb/d,crude_oil
0,0.211916983127594,0.05,0.06066977,9436.7,Monthly runs in Canada in kb/d,crude_oil
0,-0.06514191627502441,1.76,3.9767432,2079.6697,Monthly crude oil stock change in Canada in kb/d,crude_oil
0,0.04921698570251465,3.49,9.289018,6307.3975,Monthly crude oil supply-demand difference in Canada in kb/d,crude_oil
0,-0.04399597644805908,0.09,0.11336607,13184.357,Monthly synthetic crude production in Canada in kb/d,crude_oil
0,-0.19378769397735596,0.03,0.036189098,27224.639,Monthly liquids production for Canada in kb/d,liquids
0,0.2586008310317993,0.03,0.03499924,35622.09,Monthly crude oil supply in Canada in kb/d,crude_oil
0,0.19500190019607544,2.75,4.4100976,4857.4575,Monthly crude oil stock adjustments in Canada in kb/d,crude_oil
0,0.0035935640335083008,0.02,0.022615092,0.00014008384,Monthly crude oil production in Canada: Ontario in kb/d,crude_oil
0,0.7126990556716919,0.05,0.083712064,581.39594,Monthly crude oil demand in Canada: Ontario in kb/d,crude_oil
0,-0.3261173963546753,0.3,0.38956404,362.3169,Monthly crude oil imports to Canada: Ontario in kb/d,crude_oil
0,0.397036075592041,0.02,0.018355941,8.983546e-05,Monthly light & medium crude oil production in Canada: Ontario in kb/d,crude_oil
0,0.5528533458709717,0.06,0.1103228,980.25977,Monthly runs in Canada: Ontario in kb/d,crude_oil
0,0.4758221507072449,0.52,0.7372985,109.01631,Monthly crude oil stock change in Canada: Ontario in kb/d,crude_oil
0,0.08995062112808228,0.02,0.021939378,0.00013186052,Monthly liquids production in Canada: Ontario in kb/d,liquids
0,-0.1909773349761963,0.85,1.8570073,323.46658,Monthly crude oil supply in Canada: Ontario in kb/d,crude_oil
0,-0.09114551544189453,0.13,0.15552002,1943.808,Monthly crude oil stock adjustments in Canada: Ontario in kb/d,crude_oil
0,0.16750651597976685,0.08,0.109607406,0.12460215,Monthly C5+ production in Canada: Quebec & Eastern in kb/d,crude_oil
