,r2_score,MAPE,RMSPE,MSE,description,category
0,-1.900984950817429,0.11,0.12733792002376002,128227.89503722127,Monthly crude oil refinery inventories in United Kingdom in kt,crude_oil
0,-0.7344889857351586,0.19,0.23529241338320767,32728.94598318843,Monthly crude oil terminal inventories in United Kingdom in kt,crude_oil
0,-8.834486999250533,0.53,0.6067337495687072,124654.90231008739,Monthly crude oil offshore inventories in United Kingdom in kt,crude_oil
0,-11.383876067858447,0.32,0.3423292590323258,2651487.910489212,Monthly crude oil inventories in United Kingdom in kt,crude_oil
0,-1.7727476576766654,0.13,0.15301478106152225,23547.430487679278,Monthly gasoline inventories in United Kingdom in kt,oil_products
0,-3.822902686195448,0.48,0.5463407445943991,254354.72938406764,Monthly kerosene inventories in United Kingdom in kt,oil_products
0,-7.811210307698683,0.38,0.4127924097808635,374015.4239931376,Monthly diesel inventories in United Kingdom in kt,oil_products
0,-13.073241367535562,0.47,0.5364379102098089,14666.42400735551,Monthly fuel oil inventories in United Kingdom in kt,oil_products
0,-0.5730265175521863,0.08,0.10791079254567444,11963.865739432098,Monthly other oil products inventories in United Kingdom in kt,oil_products
0,-13.156925757329688,0.76,0.7993224064160738,13962217.376901917,Monthly oil products inventories in United Kingdom in kt,oil_products
0,-15.490670188122756,12.75,15.459202912454415,13352065.544852177,Monthly products net inventories in United Kingdom in kt,oil_products
0,-7.58232431661216,0.17,0.18656651038725033,2894729.475707598,Monthly products total domestic inventories in United Kingdom in kt,oil_products
0,-10.321842173389031,0.47,0.48895195914199296,21614633.150569733,Monthly products total inventories in United Kingdom in kt,oil_products
0,-2.3757006377259393,0.15,0.1984577674865881,554118.9803976774,Monthly refinery runs in United Kingdom in kt,crude_oil
0,-0.19369732545784424,0.15,0.18256735436942603,1475.2027816873335,Monthly crude oil burn in United Kingdom in kt,crude_oil
0,-0.3288545606676643,0.65,1.2783899719456129,1894.5485862626444,Monthly refinery gains in United Kingdom in kt,oil_products
0,-1.3191267877995871,0.13,0.17495700723554247,345239.6907927657,Monthly total products refinery production in United Kingdom in kt,oil_products
0,-1.302930014702341,0.31,0.42633667400931363,1855.8259935644999,Monthly butane refinery production in United Kingdom in kt,NGLs
0,-0.76472125325733,0.19,0.22892153118678618,76.52433260845382,Monthly ethane and methane refinery production in United Kingdom in kt,NGLs
0,-2.4155535446107903,0.51,0.8777479658003419,3407.666057333295,Monthly naphtha refinery production for United Kingdom in kt,oil_products
0,-0.14003847516920742,0.1,0.13600917666797946,21657.56257983872,Monthly gasoline refinery production in United Kingdom in kt,oil_products
0,-0.0459904673823468,0.36,0.47669016026682204,8203.588576735654,Monthly jet/kero refinery production in United Kingdom in kt,oil_products
0,0.5328076452809929,0.18,0.2460769766549664,1250.9070178135853,Monthly burning oil refinery production in United Kingdom in kt,oil_products
0,-5.164574447820981,0.33,0.3980923039795689,25284.382993857762,Monthly diesel refinery production in United Kingdom in kt,oil_products
0,-0.6430304520625072,0.14,0.19040628763971934,27028.938953755976,Monthly DERV oil refinery production in United Kingdom in kt,oil_products
0,-3.7008259127332686,0.43,0.4732093931089014,16816.992751537975,Monthly fuel oil refinery production in United Kingdom in kt,oil_products
0,-0.5596951516948567,1.26,3.6420530178431263,158.5167456710759,Monthly lubes refinery production in United Kingdom in kt,oil_products
0,-1.0657507081926854,0.96,1.6355056540559854,904.6927649343666,Monthly bitumen refinery production in United Kingdom in kt,oil_products
0,-0.01368121099628139,0.06,0.0824135468825476,112069.41906001848,Monthly total products demand in United Kingdom in kt,oil_products
0,0.06883816076170035,0.11,0.1304568266191082,909.3861065546645,Monthly butane and propane demand in United Kingdom in kt,NGLs
0,-0.829818394621642,0.39,0.5397653601702431,675.671283542128,Monthly ethane and methane demand in United Kingdom in kt,NGLs
0,-0.7379729033063791,4.71,10.297336302425927,3178.357288942111,Monthly naphtha demand in United Kingdom in kt,oil_products
0,-0.8324358252339774,0.25,0.4939119693533294,51318.601512915135,Monthly gasoline demand in United Kingdom in kt,oil_products
0,-1.2500011159927427,1.46,2.1899884467934068,268184.26670596533,Monthly jet/kero demand in United Kingdom in kt,oil_products
0,0.7815002347093565,0.18,0.34456763212054875,2987.040294416509,Monthly heating oil demand in United Kingdom in kt,oil_products
0,-0.8646175642422953,0.16,0.272819580837549,114175.65896463685,Monthly diesel demand in United Kingdom in kt,oil_products
0,-0.20094136719383338,0.12,0.1743618125290138,3197.4603726008845,Monthly other oil products demand in United Kingdom in kt,oil_products
0,-2.341342094263285,0.84,1.0090789627453804,306.9696047701683,Monthly fuel oil demand in United Kingdom in kt,oil_products
0,-0.5215789797214456,0.37,0.47261152155837766,104.80076939908678,Monthly lubes demand in United Kingdom in kt,oil_products
0,0.3160781440887167,0.12,0.15564288683045024,514.04054020168,Monthly bitumen demand in United Kingdom in kt,oil_products
0,-3.910149138594349,0.26,0.31770849030416787,23.968659661233794,Monthly direct crude use/burn for Algeria in kb/d,crude_oil
0,1.0,0.0,0.0,0.0,Monthly direct crude use/burn for Indonesia in kb/d,crude_oil
0,-0.3595160459277591,2.84,7.823017191452601,11422.678985145407,Monthly direct crude use/burn for Iraq in kb/d,crude_oil
0,-6.024323159660679,3.39,4.43993609801502,125.9689735816937,Monthly direct crude use/burn for Japan in kb/d,crude_oil
0,-0.03464662561182741,2.19,4.089855133134703,1439.8214635228371,Monthly direct crude use/burn for Kuwait in kb/d,crude_oil
0,-0.09450099243008592,1.26,2.203553014787564,614.1873426125505,Monthly direct crude use/burn for Netherlands in kb/d,crude_oil
0,-2.877050546333528,1.16,1.5599001572790423,1710.303671533475,Monthly direct crude use/burn for Thailand in kb/d,crude_oil
0,0.6896551974467636,0.13,0.16408745590050072,6668.567807690001,Monthly direct crude use/burn for Saudi Arabia in kb/d,crude_oil
0,-0.9741063350878765,0.16,0.1892754996108262,2388.0267884819464,Monthly LPG demand in Canada in kb/d,NGLs
0,0.09584032164309941,0.06,0.07945280892022578,2994.8528240770866,Monthly gasoline demand in Canada in kb/d,oil_products
0,-16.187665673581893,1.1,1.1622552740098462,27598.91947968214,Monthly kerosene demand in Canada in kb/d,oil_products
0,-0.10109422211744845,0.06,0.07120558751108678,1649.8337038351588,Monthly gasoil demand in Canada in kb/d,oil_products
0,0.030172218370614456,0.38,0.726807514427294,216.38382382508573,Monthly fuel oil demand in Canada in kb/d,oil_products
0,0.0732051530610126,0.05,0.06420784055124093,24700.411106070882,Monthly oil products demand in Canada in kb/d,oil_products
0,-35.28798251204036,0.28,0.3304620077055622,476794.55210387596,Monthly bitumen production in Canada in kb/d,crude_oil
0,0.1680232006585013,0.05,0.0710119416111927,490.3465518539138,Monthly C5+ production in Canada in kb/d,crude_oil
0,-2.2689938426767995,0.06,0.0727224051908696,112768.99466406579,Monthly crude oil production in Canada in kb/d,crude_oil
0,-0.7500960745288243,0.04,0.04419908849092848,66838.93625236432,Monthly crude oil demand in Canada in kb/d,crude_oil
0,-4.656178478690317,0.07,0.07415624272472279,91724.9724113428,Monthly crude oil exports from Canada in kb/d,crude_oil
0,-11.25801052503953,0.05,0.04929420784545024,487.82189610900826,Monthly heavy crude oil production in Canada in kb/d,crude_oil
0,-0.18436768818105698,0.07,0.08212383702728332,4217.398188895193,Monthly crude oil imports to Canada in kb/d,crude_oil
0,0.08300651846467344,0.03,0.037997840126264455,818.2242593063468,Monthly light & medium crude oil production in Canada in kb/d,crude_oil
0,-0.09384464116577651,0.06,0.07648360401573148,1139.533557710228,Monthly other liquids production in Canada in kb/d,crude_oil
0,0.03454648532047444,0.05,0.07331307321235495,12780.885244043511,Monthly runs in Canada in kb/d,crude_oil
0,-0.0034086337218981466,1.55,2.0582943325637584,15293.079483836831,Monthly crude oil stock change in Canada in kb/d,crude_oil
0,-0.29983275103125484,0.92,1.4293838670285746,44598.620869997074,Monthly crude oil supply-demand difference in Canada in kb/d,crude_oil
0,-0.003385554402776547,0.08,0.09821319297615513,12888.021317272916,Monthly synthetic crude production in Canada in kb/d,crude_oil
0,-1.067887897990924,0.05,0.05981839785092832,93553.21829688124,Monthly liquids production for Canada in kb/d,liquids
0,-11.844876970393843,0.11,0.13117686488557034,590805.3593366201,Monthly crude oil supply in Canada in kb/d,crude_oil
0,-0.9462132573405702,0.76,0.7971545924289987,10961.55183590942,Monthly crude oil stock adjustments in Canada in kb/d,crude_oil
0,-0.7293158073328896,0.03,0.03551280808855013,0.0003018523680203424,Monthly crude oil production in Canada: Ontario in kb/d,crude_oil
0,-0.13815042891854912,0.04,0.08291553844143616,783.0064740141088,Monthly crude oil demand in Canada: Ontario in kb/d,crude_oil
0,-0.16218338183385916,0.3,0.35104389464850644,948.0327968181846,Monthly crude oil imports to Canada: Ontario in kb/d,crude_oil
0,-0.7293158073328896,0.03,0.03551280808855013,0.0003018523680203424,Monthly light & medium crude oil production in Canada: Ontario in kb/d,crude_oil
0,-0.13815042891854912,0.04,0.08291553844143616,783.0064740141088,Monthly runs in Canada: Ontario in kb/d,crude_oil
0,-1.2085989403032236,0.57,0.645033639931462,54.242855119332276,Monthly crude oil stock change in Canada: Ontario in kb/d,crude_oil
0,-0.7293158073328896,0.03,0.03551280808855013,0.0003018523680203424,Monthly liquids production in Canada: Ontario in kb/d,liquids
0,-0.15810210734623564,0.3,0.3502636958460296,950.2576627719214,Monthly crude oil supply in Canada: Ontario in kb/d,crude_oil
0,-0.23497464590864836,0.11,0.1232465153150336,1820.5067080168271,Monthly crude oil stock adjustments in Canada: Ontario in kb/d,crude_oil
0,-1.2158035520650277,0.09,0.11021937833201188,0.19133635865728346,Monthly C5+ production in Canada: Quebec & Eastern in kb/d,crude_oil
0,-0.06179834439933907,0.2,0.29084005972114885,0.6864271644633636,Monthly condensate production in Canada: Quebec & Eastern in kb/d,crude_oil
0,-5.897111160554981,0.31,0.3954490112289259,3906.3232560866854,Monthly crude oil production in Canada: Quebec & Eastern in kb/d,crude_oil
0,-1.259131915818656,0.08,0.11175420056693545,8509.613832059615,Monthly crude oil demand in Canada: Quebec & Eastern  in kb/d,crude_oil
0,-0.5615336630575234,0.09,0.13661754034239337,970.7894736842105,Monthly crude oil exports from Canada: Quebec & Eastern in kb/d,crude_oil
0,-0.28284184450577765,0.14,0.15364477946992466,3803.025514190319,Monthly crude oil imports to Canada: Quebec & Eastern in kb/d,crude_oil
0,-5.897111160554981,0.31,0.3954490112289259,3906.3232560866854,Monthly light & medium crude oil production in Canada: Quebec & Eastern in kb/d,crude_oil
